feature,shap_value,feature_value
Feature_4,0.0,0.0
Feature_4,0.0,0.0
Feature_4,0.0,0.0
Feature_4,-0.14380485,0.23237794637680054
Feature_4,-0.009214105,0.0
Feature_4,0.0,0.0
Feature_4,0.0,0.0
Feature_4,-0.032830466,0.0
Feature_4,0.0,0.0
Feature_4,0.0,0.0
Feature_4,0.0,0.0
Feature_4,0.0,0.0
Feature_4,0.0,0.0
Feature_4,-0.07507985,0.0
Feature_4,0.0,0.0
Feature_4,-0.021796897,0.3530881702899933
Feature_4,0.529515,0.38191136717796326
Feature_4,0.0,0.4228856563568115
Feature_4,0.0,0.0
Feature_4,0.05700632,0.0
Feature_4,0.015333235,0.0
Feature_4,0.0,0.0
Feature_4,-0.24735653,0.0
Feature_4,0.0,0.0
Feature_4,0.0,0.0
Feature_4,0.0,0.0
Feature_4,0.0,0.0
Feature_4,0.0,0.0
Feature_4,0.06521673,0.0
Feature_4,0.0,0.0
Feature_4,0.0,0.0
Feature_4,0.1044966,0.0
Feature_4,0.0,0.0
Feature_4,0.0,0.0
Feature_4,0.0,0.0
Feature_4,0.0,0.0
Feature_4,0.01993861,0.0
Feature_4,-0.005636527,0.0
Feature_4,0.0,0.0
Feature_4,0.0035591598,0.0
Feature_4,0.038396332,0.0
Feature_4,0.0035911836,0.0
Feature_4,0.0,0.0
Feature_4,0.0,0.0
Feature_4,0.0,0.0
